,household_key,BASKET_ID,DAY,PRODUCT_ID,QUANTITY,SALES_VALUE,STORE_ID,RETAIL_DISC,TRANS_TIME,WEEK_NO,COUPON_DISC,COUPON_MATCH_DISC,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT
3,13,29273120444,171,829197,3,11.97,323,0.0,908,25,0.0,0.0,1208,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,6PK/20 OZ
4,13,29033980118,155,829197,1,3.5,323,-0.49,644,23,0.0,0.0,1208,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,6PK/20 OZ
5,13,29353251079,179,848154,2,2.0,323,-0.38,1104,26,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
6,13,28282413676,108,848154,3,3.0,323,-0.57,1809,16,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
7,13,29353251079,179,828055,1,2.04,323,-0.6,1104,26,-0.25,-0.25,720,GROCERY,National,DISHWASH DETERGENTS,LIQUID DISH DETERGENT,25 OZ
8,604,27529481842,46,828055,1,1.99,359,-0.6,1455,7,0.0,0.0,720,GROCERY,National,DISHWASH DETERGENTS,LIQUID DISH DETERGENT,25 OZ
10,13,28282413676,108,7467039,1,2.99,323,-1.0,1809,16,0.0,0.0,1089,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED, 
11,13,28788493578,141,7467039,2,5.0,323,-2.98,1934,21,0.0,0.0,1089,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED, 
12,13,29273120444,171,840361,2,1.76,323,-1.02,908,25,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
13,13,28243016571,104,840361,1,1.09,323,-0.3,1303,16,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
14,155,28841030596,145,840361,1,0.88,402,-0.51,1118,21,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
15,181,27517200564,45,840361,1,1.09,327,-0.3,1209,7,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
16,235,27924892324,79,840361,1,1.09,388,-0.3,1657,12,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
17,397,28787806221,140,840361,1,0.88,367,-0.51,2052,21,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
18,397,29353729426,180,840361,1,0.88,367,-0.51,1556,26,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
19,397,28242889359,104,840361,1,1.09,367,-0.3,1516,16,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
20,510,28344856838,114,840361,1,1.09,31862,-0.3,1748,17,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
21,511,29035696974,158,840361,2,1.76,316,-1.02,1520,23,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
22,987,27865487685,74,840361,1,1.09,380,-0.3,1639,11,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
23,1065,27399101029,36,840361,1,0.79,311,-0.6,1500,6,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
24,1065,28024130121,87,840361,1,0.79,311,-0.6,845,13,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
25,1065,28571801675,126,840361,1,0.88,311,-0.51,1907,19,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
26,1065,28405792204,118,840361,1,0.79,311,-0.6,2106,18,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
27,1557,28057243672,90,840361,1,1.09,375,-0.3,1931,14,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
28,1722,28840714174,145,840361,1,0.88,406,-0.51,1823,21,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
29,1722,28674966779,133,840361,1,0.88,296,-0.51,1850,20,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
30,1722,29035021242,157,840361,1,0.88,296,-0.51,1622,23,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
31,1722,28257536885,106,840361,1,1.09,296,-0.3,1930,16,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
32,1722,28511441569,120,840361,1,0.79,296,-0.6,1844,18,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
