,order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_id,add_to_cart_order,reordered,product_name,aisle_id,department_id,aisle
0,1959414,3214,prior,1,2,11,,2994,1,0,"Sushi Nori, Pacific, Organic",66,6,asian foods
1,1266616,114871,prior,5,0,13,7.0,2994,11,0,"Sushi Nori, Pacific, Organic",66,6,asian foods
2,3166823,3214,prior,3,2,18,20.0,18977,1,0,Mild Sweet Chili Sauce,66,6,asian foods
3,1959414,3214,prior,1,2,11,,95,11,0,Organic Rice Vinegar,66,6,asian foods
4,1559052,70611,prior,17,5,15,30.0,95,8,0,Organic Rice Vinegar,66,6,asian foods
5,2740585,7350,prior,2,5,17,6.0,10492,7,0,Coconut Milk,66,6,asian foods
6,1314900,38528,prior,5,6,10,14.0,10492,5,0,Coconut Milk,66,6,asian foods
7,765910,70046,prior,6,2,11,14.0,10492,12,1,Coconut Milk,66,6,asian foods
8,1045173,70046,prior,4,6,15,5.0,10492,3,0,Coconut Milk,66,6,asian foods
9,1840713,13404,prior,2,3,12,4.0,15899,23,0,Organic Reduced Sodium Tamari,66,6,asian foods
10,1029276,157257,prior,15,0,10,21.0,15899,20,0,Organic Reduced Sodium Tamari,66,6,asian foods
11,3116688,14685,prior,7,2,19,12.0,20930,5,0,Top Ramen Oriental Flavor,66,6,asian foods
12,737708,17749,prior,5,0,21,27.0,29256,16,1,Organic Udon Japanese Wheat Noodles,66,6,asian foods
13,2145484,17749,prior,1,1,12,,29256,6,0,Organic Udon Japanese Wheat Noodles,66,6,asian foods
14,817727,18352,prior,5,4,11,5.0,15194,1,1,Roasted Peanut Noodle Bowl,66,6,asian foods
15,1232018,18352,prior,3,3,18,3.0,15194,2,1,Roasted Peanut Noodle Bowl,66,6,asian foods
16,1335706,18352,prior,2,0,15,9.0,15194,3,1,Roasted Peanut Noodle Bowl,66,6,asian foods
17,146179,18352,prior,1,5,23,,15194,4,0,Roasted Peanut Noodle Bowl,66,6,asian foods
18,1950050,18352,prior,7,6,13,30.0,15194,1,1,Roasted Peanut Noodle Bowl,66,6,asian foods
19,146179,18352,prior,1,5,23,,13089,5,0,Spicy Mongolian Noodle Bowl,66,6,asian foods
20,2769400,20996,prior,25,5,3,30.0,46051,3,0,Vermicelli Noodles,66,6,asian foods
21,2002452,20996,prior,4,0,15,25.0,23001,10,0,Genuine Brewed Rice Vinegar,66,6,asian foods
22,2434803,21945,prior,30,0,20,30.0,48204,1,0,Tamari Gluten Free Soy Sauce,66,6,asian foods
23,3089493,22250,prior,20,3,19,9.0,48204,19,0,Tamari Gluten Free Soy Sauce,66,6,asian foods
24,1077325,138934,prior,19,4,10,11.0,48204,8,0,Tamari Gluten Free Soy Sauce,66,6,asian foods
25,1796584,21945,prior,19,6,16,5.0,49025,12,0,Orange Sauce,66,6,asian foods
26,2480478,21945,prior,5,4,18,4.0,5303,1,0,Organic Roasted Seaweed Snacks Teriyaki,66,6,asian foods
27,1597259,22250,prior,7,6,22,10.0,5303,19,0,Organic Roasted Seaweed Snacks Teriyaki,66,6,asian foods
28,39780,22250,prior,36,4,17,9.0,49128,15,0,Organic Tamari Gluten-Free Soy Sauce,66,6,asian foods
29,1597259,22250,prior,7,6,22,10.0,36724,17,0,Organic Sea Salt Roasted Seaweed Snacks,66,6,asian foods
30,2794255,22250,prior,13,2,21,11.0,36724,27,1,Organic Sea Salt Roasted Seaweed Snacks,66,6,asian foods
31,214253,22250,prior,10,1,0,14.0,36724,1,1,Organic Sea Salt Roasted Seaweed Snacks,66,6,asian foods
32,1438858,42668,prior,11,5,14,7.0,36724,16,1,Organic Sea Salt Roasted Seaweed Snacks,66,6,asian foods
33,28325,42668,prior,10,5,17,10.0,36724,20,0,Organic Sea Salt Roasted Seaweed Snacks,66,6,asian foods
34,1416037,158040,prior,2,2,9,30.0,36724,4,0,Organic Sea Salt Roasted Seaweed Snacks,66,6,asian foods
35,1983987,205854,prior,3,1,15,30.0,36724,20,0,Organic Sea Salt Roasted Seaweed Snacks,66,6,asian foods
36,1788843,42668,prior,38,5,14,7.0,30137,10,0,"Miso, Organic, Mellow, Red",66,6,asian foods
37,2233743,50090,prior,2,5,19,7.0,21724,3,0,Stir-fry Rice Noodles,66,6,asian foods
